"Date","Price","Open","High","Low","Vol.","Change %"
"02/12/2024","93.54","92.23","94.00","92.13","21.76K","0.60%"
"02/09/2024","92.98","92.70","93.19","92.32","16.54K","-0.78%"
"02/08/2024","93.71","92.60","93.83","92.06","29.51K","-0.95%"
"02/07/2024","94.61","94.56","94.84","94.18","58.73K","0.15%"
"02/06/2024","94.47","93.56","95.06","93.49","231.44K","-0.10%"
"02/05/2024","94.56","95.22","95.25","94.11","39.04K","-0.80%"
"02/02/2024","95.32","94.59","95.32","94.24","360.16K","0.56%"
"02/01/2024","94.79","92.77","94.85","92.27","488.81K","7.57%"
"01/31/2024","88.12","95.54","97.62","88.03","307.57K","-9.40%"
"01/30/2024","97.26","96.57","97.50","96.44","19.51K","0.59%"
"01/29/2024","96.69","95.78","96.95","95.51","17.72K","0.53%"
"01/26/2024","96.18","95.78","96.75","95.52","17.04K","1.14%"
"01/25/2024","95.10","96.22","96.34","94.32","28.67K","5.67%"
"01/24/2024","90.00","91.09","91.16","89.88","36.85K","-0.87%"
"01/23/2024","90.79","90.41","90.91","89.99","33.43K","0.40%"
"01/22/2024","90.43","90.28","91.01","90.05","59.69K","0.29%"
"01/19/2024","90.17","89.42","90.25","89.21","20.44K","0.40%"
"01/18/2024","89.81","88.95","89.91","88.81","39.33K","-0.11%"
"01/17/2024","89.91","90.19","90.36","89.01","21.99K","-3.57%"
"01/16/2024","93.24","93.39","93.90","92.90","44.32K","-4.25%"
"01/12/2024","97.38","97.80","97.87","97.05","16.29K","-0.67%"
"01/11/2024","98.04","98.11","98.46","96.89","26.91K","-0.43%"
"01/10/2024","98.46","97.72","98.75","97.36","14.93K","1.32%"
"01/09/2024","97.18","96.63","97.64","96.63","14.90K","-0.05%"
"01/08/2024","97.23","95.81","97.42","95.76","36.89K","2.52%"
"01/05/2024","94.84","94.31","95.84","94.23","44.44K","0.09%"
"01/04/2024","94.75","93.86","95.64","93.79","70.48K","-3.03%"
"01/03/2024","97.71","97.84","98.34","97.45","21.07K","-1.85%"
"01/02/2024","99.55","99.78","100.12","99.17","20.25K","-2.07%"
"12/29/2023","101.65","101.75","102.60","100.50","21.93K","-0.25%"
"12/28/2023","101.90","102.08","102.59","101.90","20.58K","-1.25%"
"12/27/2023","103.19","102.95","103.44","102.64","14.73K","0.62%"
"12/26/2023","102.55","102.30","103.55","101.05","13.67K","1.08%"
"12/22/2023","101.45","101.16","102.06","100.98","25.36K","-5.55%"
"12/21/2023","107.41","107.34","107.42","106.16","27.16K","1.01%"
"12/20/2023","106.34","106.39","107.95","106.25","41.23K","0.18%"
"12/19/2023","106.15","104.82","106.33","104.74","23.53K","0.86%"
"12/18/2023","105.24","104.65","105.32","104.24","19.49K","0.79%"
"12/15/2023","104.41","104.56","105.16","104.23","30.32K","-3.81%"
"12/14/2023","108.54","108.24","109.01","107.79","24.15K","2.01%"
"12/13/2023","106.40","105.05","106.77","104.28","25.16K","1.65%"
"12/12/2023","104.67","104.59","104.91","104.16","17.03K","-0.08%"
"12/11/2023","104.75","103.67","104.84","103.58","36.04K","0.61%"
"12/08/2023","104.11","103.61","104.50","103.39","17.46K","0.72%"
"12/07/2023","103.37","102.66","103.45","102.00","25.69K","-2.26%"
"12/06/2023","105.76","106.60","107.06","105.61","21.91K","0.33%"
"12/05/2023","105.41","105.44","105.75","104.63","29.87K","-0.17%"
"12/04/2023","105.59","104.82","105.90","104.52","30.76K","-0.26%"
"12/01/2023","105.86","104.61","106.21","104.35","36.75K","0.94%"
"11/30/2023","104.87","105.31","105.37","104.38","18.28K","-0.70%"
"11/29/2023","105.61","105.75","106.30","105.42","21.99K","3.08%"
"11/28/2023","102.45","102.04","102.94","101.78","15.02K","0.97%"
"11/27/2023","101.47","101.08","101.87","100.89","17.94K","0.38%"
"11/24/2023","101.09","100.60","101.34","100.53","16.07K","-0.89%"
"11/22/2023","102.00","101.53","102.27","101.11","19.23K","1.00%"
"11/21/2023","100.99","101.32","101.73","100.64","22.14K","1.37%"
"11/20/2023","99.63","99.26","99.86","98.80","20.98K","1.51%"
"11/17/2023","98.15","97.22","98.17","96.81","14.67K","2.25%"
"11/16/2023","95.99","96.27","96.59","95.34","18.35K","-1.09%"
"11/15/2023","97.05","96.52","97.36","96.46","17.58K","-0.40%"
"11/14/2023","97.44","95.59","97.60","95.48","25.01K","6.89%"
"11/13/2023","91.16","90.15","91.31","89.95","33.21K","-1.13%"
"11/10/2023","92.20","91.12","92.24","90.34","26.54K","0.15%"
"11/09/2023","92.06","93.30","93.50","91.90","25.79K","1.11%"
"11/08/2023","91.05","90.83","92.06","90.25","43.82K","-1.45%"
"11/07/2023","92.39","90.95","92.57","90.84","37.84K","0.22%"
"11/06/2023","92.19","92.17","92.87","91.94","22.60K","0.96%"
"11/03/2023","91.31","92.20","93.22","91.27","18.07K","0.02%"
"11/02/2023","91.29","91.69","92.13","90.84","25.17K","2.62%"
"11/01/2023","88.96","88.39","88.96","87.56","16.69K","0.28%"
"10/31/2023","88.71","88.22","88.99","88.00","41.27K","-0.06%"
"10/30/2023","88.76","88.26","88.94","88.05","56.00K","1.41%"
"10/27/2023","87.53","88.46","88.72","87.02","18.16K","-0.03%"
"10/26/2023","87.56","88.39","88.76","87.09","23.64K","-2.62%"
"10/25/2023","89.92","89.69","91.16","89.36","18.52K","-1.39%"
"10/24/2023","91.19","90.94","91.94","90.75","31.77K","1.79%"
"10/23/2023","89.59","88.55","90.41","88.02","18.88K","-0.31%"
"10/20/2023","89.87","90.03","90.56","89.66","31.22K","-1.61%"
"10/19/2023","91.34","92.69","92.95","91.16","36.41K","-1.36%"
"10/18/2023","92.60","93.38","93.87","92.38","22.98K","-2.12%"
"10/17/2023","94.61","88.89","94.61","88.81","67.76K","4.90%"
"10/16/2023","90.19","88.92","90.70","88.87","68.26K","2.59%"
"10/13/2023","87.91","88.96","89.31","87.53","17.33K","-1.27%"
"10/12/2023","89.04","90.37","90.42","88.74","15.21K","-1.10%"
"10/11/2023","90.03","91.12","91.23","89.35","22.23K","0.35%"
"10/10/2023","89.72","89.84","90.61","89.42","37.23K","1.44%"
"10/09/2023","88.45","88.16","88.46","86.71","21.93K","4.61%"
"10/06/2023","84.55","83.05","84.93","82.65","34.19K","2.18%"
"10/05/2023","82.75","82.08","83.18","81.88","41.00K","-3.45%"
"10/04/2023","85.71","85.34","85.81","84.31","37.09K","2.00%"
"10/03/2023","84.03","84.31","84.72","83.82","23.56K","-2.25%"
