"Date","Price","Open","High","Low","Vol.","Change %"
"28/04/2021","433.02","429.60","434.63","429.16","25.24M","0.67%"
"27/04/2021","430.13","413.48","430.77","412.16","40.31M","4.17%"
"26/04/2021","412.90","409.23","414.46","405.28","14.71M","0.90%"
"23/04/2021","409.23","404.54","409.26","402.79","15.51M","0.84%"
"22/04/2021","405.81","405.03","406.40","402.54","19.18M","-0.09%"
"21/04/2021","406.16","407.38","409.67","403.81","17.59M","-0.33%"
"20/04/2021","407.52","417.49","417.88","406.94","15.55M","-2.54%"
"19/04/2021","418.12","416.07","420.66","416.07","14.47M","0.15%"
"16/04/2021","417.49","414.46","419.68","413.43","19.73M","1.50%"
"15/04/2021","411.33","418.41","420.12","411.33","15.86M","-1.81%"
"14/04/2021","418.90","417.83","421.05","414.65","15.17M","0.47%"
"13/04/2021","416.95","421.44","423.20","414.21","12.03M","-1.31%"
"12/04/2021","422.47","421.34","425.89","418.21","12.13M","-1.11%"
"09/04/2021","427.20","428.28","430.62","424.57","15.95M","-0.59%"
"08/04/2021","429.74","426.08","429.74","424.62","24.26M","1.39%"
"07/04/2021","423.83","415.34","424.91","414.12","22.18M","1.66%"
"06/04/2021","416.90","415.29","422.08","414.31","18.22M","0.86%"
"01/04/2021","413.34","412.55","417.10","411.19","13.91M","0.00%"
"31/03/2021","413.34","417.05","420.12","412.65","23.21M","-1.73%"
"30/03/2021","420.61","415.58","421.83","414.70","19.57M","3.00%"
"29/03/2021","408.35","410.65","412.41","407.23","13.89M","-1.09%"
"26/03/2021","412.85","410.84","414.26","409.92","21.45M","0.31%"
"25/03/2021","411.58","412.26","415.34","405.72","18.64M","-0.54%"
"24/03/2021","413.82","408.65","414.17","404.98","18.44M","-0.15%"
"23/03/2021","414.46","413.14","415.58","411.34","29.01M","-0.15%"
"22/03/2021","415.09","418.27","420.95","413.58","23.20M","-1.36%"
"19/03/2021","420.81","422.52","425.01","414.56","81.87M","-2.42%"
"18/03/2021","431.26","422.86","433.89","420.66","25.19M","2.54%"
"17/03/2021","420.56","413.43","422.37","411.97","22.98M","1.85%"
"16/03/2021","412.94","417.05","422.96","409.92","22.73M","-0.28%"
"15/03/2021","414.12","419.05","421.15","411.53","17.47M","-1.03%"
"12/03/2021","418.41","412.70","420.51","411.67","21.41M","0.79%"
"11/03/2021","415.14","425.69","426.03","412.41","21.95M","-4.72%"
"10/03/2021","435.70","434.04","438.68","431.53","12.59M","-0.28%"
"09/03/2021","436.92","443.08","444.78","434.14","19.68M","-1.79%"
"08/03/2021","444.88","433.85","446.15","432.97","25.21M","4.09%"
"05/03/2021","427.40","417.68","434.63","414.41","26.83M","2.60%"
"04/03/2021","416.56","420.22","421.54","414.70","22.01M","-1.48%"
"03/03/2021","422.81","415.63","424.86","415.63","21.68M","2.16%"
"02/03/2021","413.87","408.55","418.76","407.96","19.29M","0.86%"
"01/03/2021","410.36","416.17","419.72","409.33","21.40M","-1.42%"
"26/02/2021","416.27","425.89","429.79","414.56","40.51M","-2.06%"
"25/02/2021","425.01","423.54","435.36","423.00","24.36M","1.36%"
"24/02/2021","419.29","408.94","419.83","404.40","20.45M","0.30%"
"23/02/2021","418.02","416.66","439.62","407.67","22.39M","-0.85%"
